-2378 -3065 -927; 186 47 -45
-228 -2098 -3579; -2077 -199 -102
-225 -1845 -3661; -2423 -234 -119
-168 -1567 -3790; -2453 -226 -132
-57 -1514 -3794; -2027 -191 -149
-75 -1760 -3634; -1444 -187 -167
-38 -1700 -3644; -1248 -181 -171
-355 -1749 -3516; -1285 -190 -183
-69 -1857 -3599; -1264 -178 -174
-471 -1716 -3688; -1220 -125 -129
-368 -1886 -3805; -1168 -41 6
-666 -1024 -3607; -986 9 176
-507 -546 -4758; -748 -79 173
-363 -1275 -3789; -239 -140 126
-251 -1016 -3792; 70 -178 90
-308 -1199 -3945; -72 -178 65
462 -1213 -3665; -241 -147 7
-431 -1029 -3469; -204 -100 -3
-172 -1584 -3649; -152 -46 0
-218 -1259 -3673; -358 -29 23
-658 -1458 -3748; -304 -15 27
-267 -1158 -3863; -281 -4 31
-1636 -1722 -3377; -91 5 36
-1435 -1680 -3473; -309 10 49
-238 -1181 -3859; -166 7 54
-229 -1157 -3883; 207 11 47
-191 -1207 -3903; 220 19 35
-195 -1187 -3966; 220 22 27
-252 -1282 -3949; 238 16 25
-262 -1422 -3888; 221 4 22
-254 -1353 -3910; 135 -2 21
-221 -1314 -3899; 37 -8 12
-197 -1205 -4011; 36 -8 2
-246 -1285 -3962; 72 -13 -3
-279 -1281 -3959; 40 -23 -6
-255 -1294 -3899; -35 -35 -5
-240 -1301 -3796; -72 -48 -10
-203 -1178 -3871; -93 -49 -19
-249 -1271 -3847; -141 -51 -32
-4553 -4693 -1569; -336 -45 -42
-265 -995 -3506; -1381 -44 8
561 -956 -3933; -1639 -87 -45
262 -1152 -3985; -1098 -74 -76
-283 -1189 -4160; -747 -58 -89
-418 -1158 -4032; -729 -73 -96
137 -811 -4069; -699 -89 -88
-456 -949 -3978; -553 -73 -85
-101 -817 -3975; -373 -59 -92
-90 -714 -4146; -255 -64 -96
536 -598 -4186; -207 -66 -92
-237 -882 -4098; 22 -58 -89
-298 -877 -4057; 137 -61 -81
-174 -773 -4043; 80 -73 -76
-553 -863 -3972; -25 -84 -76
122 -716 -4072; -134 -91 -78
-168 -868 -4055; -57 -78 -77
-180 -897 -4048; 35 -79 -75
-314 -937 -3994; 71 -80 -71
-132 -784 -4002; -56 -92 -69
-295 -922 -3948; -48 -94 -72
-65 -719 -4021; -104 -86 -70
-330 -830 -4022; -162 -82 -71
-150 -807 -4058; -105 -86 -68
-215 -800 -4051; 58 -85 -65
-229 -833 -3995; 102 -83 -61
-298 -834 -3922; 77 -82 -58
-491 -936 -3901; -21 -83 -53
-456 -858 -3909; -302 -95 -56
-4 -679 -3977; -474 -100 -60
-115 -826 -3958; -437 -85 -56
-147 -787 -4035; -211 -62 -50
-478 -837 -3942; -307 -58 -52
-271 -723 -4024; -399 -60 -50
84 -509 -4155; -349 -58 -43
-753 -775 -3968; -386 -64 -42
-260 -599 -4073; -362 -60 -44
77 -448 -4225; -198 -53 -47
-572 -690 -4035; -202 -60 -47
-196 -576 -3995; -190 -64 -46
-201 -571 -4034; 9 -57 -51
-204 -612 -4026; 14 -53 -57
-324 -650 -4005; -37 -47 -62
-58 -447 -4178; -200 -42 -65
299 -318 -4364; -422 -42 -74
-214 -529 -4160; -216 -56 -76
-217 -526 -4114; -41 -64 -76
-235 -486 -4073; -4 -64 -80
-239 -451 -4040; 24 -62 -82
-235 -513 -4014; 50 -57 -87
-221 -543 -4047; 52 -52 -90
-226 -567 -4070; 23 -41 -92
-229 -556 -4077; -6 -34 -91
-224 -534 -4078; -15 -35 -86
-220 -535 -4066; -6 -41 -82
-209 -516 -4054; 1 -48 -77
-217 -528 -4085; 5 -47 -76
-199 -549 -4087; 16 -46 -74
-202 -587 -4077; 14 -49 -71
-212 -531 -4082; -9 -52 -69
-197 -526 -4074; -27 -57 -68
-202 -494 -4055; -33 -61 -65
-200 -538 -4057; -34 -63 -65
-228 -492 -4024; -37 -61 -62
-196 -523 -4113; -53 -54 -57
-231 -486 -4111; -41 -56 -56
-221 -479 -4110; -40 -63 -55
-212 -473 -4064; -19 -65 -52
-201 -475 -4056; 1 -62 -53
-223 -448 -4025; 13 -59 -50
-231 -449 -4030; 20 -56 -50
-197 -436 -4057; 23 -55 -50
-184 -440 -4070; 34 -50 -51
-187 -472 -4072; 54 -48 -50
-204 -467 -4047; 56 -46 -51
-189 -456 -4068; 43 -47 -54
-188 -469 -4065; 36 -44 -57
-196 -447 -4045; 37 -41 -57
-207 -430 -4058; 39 -36 -59
-214 -444 -4070; 35 -32 -61
-205 -470 -4077; 24 -35 -59
-174 -485 -4111; 9 -35 -58
-176 -464 -4109; -2 -37 -58
-176 -455 -4109; 5 -42 -58
-174 -463 -4071; 24 -46 -57
-186 -480 -4047; 20 -48 -56
-179 -468 -4089; 5 -48 -56
-178 -455 -4079; -8 -48 -56
-192 -449 -4100; 0 -51 -54
-191 -445 -4117; 12 -52 -54
-203 -438 -4089; 23 -54 -56
-179 -424 -4080; 40 -57 -56
-181 -409 -4078; 49 -56 -56
-181 -435 -4089; 50 -56 -56
-167 -443 -4070; 50 -57 -55
-172 -433 -4068; 48 -55 -56
-192 -465 -4073; 42 -55 -57
-212 -434 -4072; 26 -54 -56
-197 -437 -4087; 6 -54 -56
-182 -439 -4114; -4 -53 -57
-195 -458 -4109; -4 -56 -56
-179 -430 -4104; -10 -58 -55
-165 -458 -4109; -15 -57 -54
-199 -425 -4082; -16 -60 -52
-202 -425 -4077; -12 -62 -51
-204 -441 -4106; -13 -62 -51
-187 -411 -4094; -9 -63 -49
-195 -403 -4076; 1 -63 -47
-205 -429 -4068; 11 -61 -48
-194 -420 -4097; 13 -61 -47
-195 -399 -4098; 5 -62 -46
-186 -362 -4082; 6 -62 -48
-168 -378 -4047; 17 -62 -50
-169 -377 -4033; 23 -61 -52
-150 -386 -4047; 20 -59 -56
-145 -389 -4056; 19 -57 -59
-151 -407 -4075; 26 -55 -60
-180 -385 -4098; 31 -54 -64
-175 -399 -4116; 35 -54 -65
-186 -383 -4089; 49 -55 -64
-119 -399 -4019; 59 -49 -66
-158 -449 -4077; 63 -52 -67
-167 -402 -4100; 53 -53 -63
-142 -414 -4080; 47 -54 -60
-152 -412 -4072; 53 -53 -58
-155 -408 -4069; 46 -51 -57
-169 -400 -4092; 33 -51 -54
-152 -398 -4117; 33 -53 -54
-175 -404 -4128; 35 -55 -53
-180 -392 -4104; 30 -58 -51
-171 -374 -4091; 23 -63 -51
-172 -379 -4070; 18 -64 -52
-156 -366 -4098; 18 -62 -52
-170 -399 -4088; 22 -62 -52
-184 -369 -4098; 18 -62 -51
-176 -384 -4087; 10 -61 -53
-180 -372 -4089; 1 -61 -55
-165 -380 -4083; -5 -59 -54
-180 -392 -4065; -7 -59 -55
-182 -360 -4065; -8 -58 -55
-161 -355 -4085; -3 -56 -57
-138 -355 -4103; -4 -65 -57
-227 -351 -4117; 20 -67 -60
-193 -364 -4091; 38 -58 -58
-45 -306 -4033; 46 -60 -61
-210 -442 -4103; 62 -61 -64
-255 -351 -4130; 39 -68 -52
-212 -361 -4133; 23 -78 -50
-194 -314 -4101; 34 -81 -50
-199 -362 -4059; 73 -72 -51
-191 -355 -4063; 92 -67 -51
-189 -327 -4038; 97 -61 -54
-170 -418 -4089; 103 -50 -57
-180 -401 -4038; 87 -56 -54
-178 -373 -4063; 69 -57 -56
-182 -379 -4061; 67 -53 -57
-180 -382 -4058; 63 -51 -56
-176 -364 -4094; 64 -48 -60
-177 -386 -4121; 66 -47 -61
-178 -368 -4090; 68 -46 -60
-155 -353 -4093; 66 -47 -61
-133 -341 -4089; 68 -49 -61
-142 -350 -4130; 76 -51 -59
-159 -375 -4144; 84 -55 -58
-151 -384 -4145; 85 -59 -58
-166 -383 -4109; 91 -63 -57
-157 -399 -4085; 98 -65 -56
-164 -399 -4053; 95 -67 -56
-160 -373 -4063; 89 -67 -55
-157 -378 -4066; 95 -66 -56
-167 -373 -4062; 110 -62 -55
-180 -412 -4089; 115 -59 -57
-158 -406 -4098; 104 -61 -55
396 -407 -4106; 92 -60 -56
-58 -282 -4104; 101 -38 -61
-266 -468 -4084; 45 -69 -50
-272 -331 -4133; -2 -68 -36
-149 -388 -4078; 21 -56 -43
-169 -349 -4065; 69 -46 -47
-209 -119 -3995; 127 -43 -57
-224 -629 -4110; 234 -58 -70
-108 -355 -4128; 131 -79 -54
-133 -445 -4081; 132 -63 -54
-149 -413 -4067; 141 -61 -54
-149 -459 -4056; 131 -65 -53
-132 -466 -4080; 108 -63 -53
-161 -437 -4076; 92 -63 -51
-188 -442 -4083; 84 -63 -51
-200 -444 -4081; 84 -62 -52
-193 -441 -4076; 84 -62 -51
-177 -427 -4069; 87 -63 -51
-175 -432 -4061; 88 -61 -51
-170 -448 -4059; 79 -60 -53
-145 -459 -4072; 65 -60 -54
-173 -446 -4063; 53 -59 -56
-165 -438 -4095; 38 -60 -57
-162 -433 -4091; 36 -61 -60
-164 -433 -4064; 47 -60 -61
-78 -505 -4051; 42 -78 -73
-339 -409 -4170; 45 -73 -60
-135 -469 -4102; 30 -72 -52
-127 -428 -4090; 47 -74 -57
-235 -404 -4081; 71 -66 -56
-203 -515 -4070; 99 -59 -58
-152 -449 -4097; 73 -65 -52
-159 -467 -4077; 47 -69 -47
-127 -422 -4045; 41 -72 -48
-158 -403 -4072; 48 -68 -52
-243 -437 -4062; 44 -69 -51
-194 -450 -4133; 43 -57 -49
-197 -451 -4055; 32 -69 -46
-162 -386 -4074; 36 -61 -49
-167 -425 -4020; 61 -49 -57
-135 -442 -4056; 77 -42 -60
-138 -449 -4086; 71 -46 -60
-173 -469 -4142; 54 -53 -58
-167 -440 -4112; 45 -66 -53
-118 -408 -4101; 49 -71 -49
-123 -410 -4073; 61 -69 -51
-158 -418 -4081; 79 -65 -58
-188 -466 -4093; 93 -64 -59
-181 -468 -4086; 88 -63 -55
-173 -466 -4061; 82 -64 -52
-165 -428 -4043; 83 -60 -51
-129 -444 -4057; 89 -56 -53
-165 -468 -4073; 77 -59 -53
-190 -440 -4088; 58 -63 -46
-100 -392 -4088; 51 -58 -45
-98 -530 -4076; 93 -38 -58
-160 -551 -4100; 131 -29 -65
-139 -483 -4092; 78 -49 -54
-129 -475 -4100; 74 -50 -58
-152 -455 -4072; 79 -49 -57
-147 -474 -4076; 76 -50 -58
-134 -487 -4108; 70 -53 -59
-155 -495 -4126; 66 -55 -57
-159 -474 -4089; 58 -59 -55
-143 -480 -4069; 50 -64 -53
-146 -475 -4069; 42 -67 -52
-153 -476 -4066; 39 -69 -51
-162 -480 -4070; 39 -68 -51
-157 -488 -4059; 39 -64 -51
-140 -506 -4168; 34 -67 -55
-331 -428 -3997; 20 -64 -47
-179 -493 -4077; 13 -52 -48
-21 -519 -4090; 11 -65 -52
-54 -437 -4023; 5 -83 -58
-232 -450 -4118; -9 -67 -52
-170 -405 -4060; -11 -60 -47
-99 -419 -4088; -7 -61 -53
-197 -433 -4107; 22 -56 -56
-219 -414 -4098; 45 -53 -54
-173 -461 -4089; 53 -56 -52
-139 -441 -4108; 59 -61 -51
-128 -453 -4083; 67 -64 -51
-139 -424 -4073; 76 -65 -55
-132 -435 -4077; 73 -62 -58
-130 -450 -4091; 69 -64 -60
-167 -460 -4101; 58 -70 -59
-172 -409 -4114; 52 -74 -59
-148 -420 -4079; 66 -74 -60
-157 -435 -4063; 85 -70 -63
-166 -435 -4060; 96 -69 -64
-161 -485 -4057; 93 -68 -63
-161 -470 -4082; 84 -70 -62
-142 -481 -4085; 72 -70 -61
-127 -510 -4063; 59 -69 -57
-117 -419 -4057; 39 -71 -55
-129 -454 -4031; 45 -65 -59
-159 -448 -4056; 57 -57 -61
-178 -458 -4078; 54 -55 -62
-189 -490 -4117; 29 -59 -60
-141 -453 -4102; 27 -60 -60
-158 -433 -4056; 51 -59 -61
-207 -467 -4069; 57 -55 -58
-164 -431 -4075; 27 -58 -52
-186 -137 -4101; 26 -57 -57
-151 -532 -4017; 161 -38 -98
27 -518 -4015; 196 -34 -100
-220 -467 -4142; 82 -57 -71
-187 -462 -4112; 29 -60 -61
-112 -506 -4095; 30 -67 -61
-157 -458 -4084; 30 -67 -54
-177 -440 -4085; 40 -67 -54
-145 -449 -4069; 52 -67 -55
-101 -406 -4053; 53 -71 -53
-168 -430 -4068; 64 -69 -58
-157 -483 -4074; 77 -60 -59
-143 -481 -4064; 71 -60 -58
-146 -455 -4052; 53 -59 -61
-188 -412 -4032; 38 -54 -67
-230 -403 -4109; 6 -47 -81
-93 -395 -4065; 18 -52 -90
-104 -415 -4086; 57 -60 -94
-113 -469 -4061; 73 -62 -80
-163 -432 -4102; 36 -71 -64
-108 -490 -4100; 26 -68 -62
-121 -469 -4050; 31 -60 -66
-163 -481 -4064; 35 -50 -68
-88 -548 -4077; 13 -51 -60
-309 -443 -4122; -41 -61 -44
-201 -450 -4070; -12 -69 -40
-196 -439 -4054; 23 -62 -43
-286 -374 -4086; 50 -52 -43
-841 -48 -4207; 106 -30 -46
-348 -683 -3201; 303 23 -153
103 -478 -4663; 275 -90 -231
-209 -358 -4098; 30 -99 -67
307 -533 -4062; 40 -71 -80
-214 -482 -4161; -34 -51 -86
-441 -482 -4081; -33 -73 -51
-144 -418 -4077; -10 -78 -28
-252 -433 -4048; 21 -43 -15
-15 -389 -4072; 89 -27 -12
103 -519 -3999; 99 -12 -9
-21 -517 -4009; 73 -15 -13
-316 -511 -4125; 10 -21 -27
-2 -525 -4135; -32 -37 -58
-72 -541 -4104; -55 -49 -77
195 -518 -4012; -72 -55 -89
-207 -433 -4081; -86 -43 -100
-360 -446 -4127; -57 -35 -102
-355 -408 -4083; -11 -32 -106
-263 -424 -4095; 40 -25 -108
-316 -436 -4091; 64 -26 -95
-211 -455 -4160; 55 -39 -78
-172 -437 -4109; 44 -49 -69
-125 -413 -4080; 34 -52 -67
-81 -381 -4085; 24 -54 -65
-85 -418 -4073; 26 -52 -61
-105 -440 -4120; 12 -54 -55
-100 -449 -4112; -18 -58 -51
-111 -376 -4110; -34 -62 -42
-77 -348 -4042; -17 -59 -36
-71 -392 -4035; 26 -59 -32
-99 -460 -4131; 37 -68 -29
-96 -449 -4104; 21 -66 -34
-101 -395 -4057; 13 -70 -44
-122 -388 -4052; 18 -67 -55
-169 -393 -4075; 29 -65 -58
-181 -409 -4110; 36 -58 -58
-186 -395 -4157; 44 -44 -53
-167 -404 -4105; 60 -33 -46
-177 -340 -4122; 93 -41 -50
-124 -431 -4090; 140 -40 -53
-132 -366 -4143; 172 -46 -48
-186 -388 -4098; 208 -41 -44
151 -465 -3993; 250 -36 -32
-320 -334 -4115; 251 -33 -43
-161 -490 -4131; 265 -45 -49
-1 -460 -4099; 285 -56 -53
-115 -474 -4132; 299 -50 -51
-99 -568 -4076; 277 -58 -36
-60 -505 -4109; 203 -71 -15
-50 -498 -4048; 169 -68 -10
-17 -583 -4074; 141 -63 -18
-356 -567 -4196; 90 -80 -17
126 -536 -4007; 98 -103 -18
-79 -445 -4105; 106 -91 -33
-86 -502 -4077; 119 -92 -38
-63 -460 -4104; 118 -97 -45
-81 -504 -4087; 125 -93 -50
-106 -503 -4095; 132 -93 -52
-142 -495 -4070; 125 -96 -55
-144 -490 -4068; 136 -96 -59
-171 -502 -4048; 166 -94 -62
-188 -526 -4041; 205 -93 -66
-167 -567 -4055; 238 -86 -69
-167 -602 -4076; 261 -85 -71
-151 -609 -4073; 269 -82 -70
-136 -627 -4064; 260 -84 -68
-119 -603 -4038; 243 -83 -66
-129 -612 -4067; 229 -86 -63
-131 -669 -4091; 215 -83 -62
-143 -644 -4142; 198 -88 -59
-159 -558 -4114; 204 -93 -55
-137 -485 -4102; 288 -103 -61
-117 -512 -4061; 492 -109 -68
-94 -459 -4159; 786 -116 -75
-112 -603 -4073; 1247 -131 -87
-179 -719 -4056; 1566 -112 -92
-182 -649 -3921; 1754 -101 -111
-69 -830 -3946; 1979 -67 -183
65 -1225 -4036; 2163 -40 -253
269 -1309 -3915; 2194 -58 -245
135 -1231 -3705; 2162 -64 -187
-225 -1449 -3790; 2179 -15 -223
-258 -1874 -3677; 1951 -23 -261
-280 -1737 -3682; 1409 -111 -102
-181 -1679 -3705; 1048 -107 -102
-211 -1637 -3737; 845 -100 -83
-144 -1434 -3678; 754 -96 -83
-37 -1682 -3732; 737 -79 -117
-56 -1795 -3715; 788 -78 -103
-41 -1803 -3684; 820 -86 -95
-74 -1918 -3670; 730 -89 -91
-105 -1808 -3653; 693 -86 -91
-146 -1869 -3567; 610 -74 -85
-127 -1887 -3604; 501 -69 -80
-54 -1908 -3674; 424 -63 -73
-241 -1997 -3442; 421 -58 -65
-183 -1860 -3661; 251 -52 -56
-122 -1924 -3614; 152 -57 -59
-112 -1815 -3692; 130 -60 -58
-63 -1832 -3729; 136 -57 -61
-1 -1863 -3570; 162 -61 -65
-55 -1880 -3515; 182 -59 -62
-154 -1806 -3559; 165 -56 -61
-179 -1990 -3536; 115 -56 -68
